facet_id,facet_name,category,polarity,definition,scale_1,scale_2,scale_3,scale_4,scale_5
F0068,Network basics,linguistic,positive,The ability and tendency to communicate network-related information effectively in a conversation.,A very strong understanding of basic network concepts is absent. The speaker does not mention any network basics.,"There are slight references to network basics, but they are vague and do not provide clear information.","The speaker mentions some basic network terms or concepts in a somewhat coherent manner, but the explanation is incomplete or unclear.",The speaker provides strong explanations of network basics with clarity and detail. They use appropriate terminology and examples effectively.,"The speaker offers very strong, comprehensive explanations of network basics. Their communication is clear, engaging, and leaves a lasting impression on the listener."
F0069,Alphabetical filing skills,cognitive,neutral,"Measurable trait/behavior that assesses an individual's proficiency and efficiency in organizing, storing, and retrieving information using alphabetical systems.",The person shows no awareness or use of alphabetical filing systems in their daily activities.,The person occasionally uses alphabetical systems for simple tasks but not systematically.,"The person uses alphabetical systems moderately and can organize information efficiently, though it is not a primary method.","The person relies heavily on alphabetical filing systems for most of their organizational needs, making them an efficient user.",The person excels in using alphabetical systems to manage complex information and tasks with remarkable efficiency.
F0070,Work Styles,behavioral,positive,"Measurable trait/behavior observed in how a person speaks about their work habits, attitudes, and approaches.",Work styles are not evident in the conversation. The speaker does not discuss or demonstrate any particular work-related behaviors or attitudes.,"The speaker mentions occasional work-related topics but does so in a vague or non-committal manner, without showing clear work habits or attitudes.","Work styles are moderately present. The speaker discusses their work habits and attitudes in a somewhat consistent way, though not strongly emphasized.","The speaker frequently and clearly expresses their work-related behaviors and attitudes, often with enthusiasm and confidence.","The speaker's conversation is dominated by discussions of their work styles. They express strong preferences, habits, and approaches to work in a very dominant manner."
F0071,Character strength: Perseverance,cognitive,positive,"Perseverance is a cognitive trait characterized by the ability to persist in challenging tasks and overcome obstacles, often measured through resilience and determination.",A slight inclination towards perseverance can be observed. The individual shows occasional signs of persistence but not consistently or prominently.,"Moderate perseverance is evident with the person demonstrating consistent effort in challenging tasks, showing a moderate level of determination and resilience.","Strong perseverance is clearly present as the individual exhibits strong commitment to their goals, often overcoming significant obstacles with remarkable persistence.","Very strong perseverance is dominant where the person shows an almost unyielding resolve in facing challenges, consistently demonstrating a high level of determination and resilience.","The individual displays an overwhelming dominance over any obstacles, showing an extremely resilient and persistent nature in all endeavors."
F0072,Competition,behavioral,negative,A measurable trait/behavior observed in how a person speaks about competition and their attitudes towards it.,Competition is not discussed or acknowledged. The individual avoids talking about competition altogether.,"There are very brief mentions of competition, but they are dismissive or negative in tone.",The individual acknowledges the existence of competition but expresses discomfort with it and tries to avoid discussing it.,"Competition is discussed openly, often as a means to an end, without any apparent reservations or concerns.","Competition is frequently and enthusiastically discussed, with the individual showing great interest in competitive situations and success."
F0073,Logical Sequence Identification,cognitive,positive,"The ability to identify and maintain logical sequences in a conversation, such as following cause-and-effect relationships or maintaining chronological order.",A very strong / dominant score indicates the speaker consistently identifies and maintains logical sequences without errors. The listener can easily follow the flow of ideas.,"A strong / prominent score shows a moderate tendency to identify and maintain logical sequences, but with occasional lapses or minor disruptions in understanding.","A moderate / clearly present score suggests some ability to identify and maintain logical sequences, though it is not consistently applied. The speaker may occasionally lose track of the sequence or introduce errors.","A strong / prominent score indicates a slight tendency to disrupt logical sequences, often leading to confusion for the listener. Errors in identifying cause-and-effect relationships are common.","A very strong / dominant score shows significant difficulty maintaining logical sequences, frequently causing misunderstandings and disruptions in the conversation flow."
F0074,Sustainable-transport usage,behavioral,positive,Measurable trait/behavior observed in how a person speaks about their sustainable transportation habits and choices.,"A HIGH score indicates frequent, proactive, and positive discussions about using sustainable modes of transport, such as biking or public transit. The individual frequently recommends these options to others and actively seeks out information on eco-friendly vehicles.",A MODERATE score shows occasional mention of sustainable transportation methods but with a more neutral tone. The person may discuss the benefits of cycling or public transit without advocating for them strongly.,"A SLIGHT score indicates minimal discussion about sustainable transport, often in passing and without enthusiasm. The individual might mention eco-friendly options but does not actively promote them.",A VERY STRONG score is characterized by frequent discussions that are enthusiastic and persuasive. The person frequently recommends sustainable modes of transportation to others and actively seeks out information on new eco-friendly vehicles or technologies.,"A NOT PRESENT score indicates no mention or discussion of sustainable transport methods in the conversation, with no apparent interest or knowledge about these options."
F0075,Hardworking,behavioral,positive,A measurable trait/behavior that reflects a person's tendency to engage in persistent and diligent efforts towards achieving goals.,absent / not present - The individual shows no signs of persistently working hard or being dedicated to their goals. They may appear lazy or indifferent.,"slight / faint trace - There is a barely noticeable inclination towards hard work, but it does not significantly impact the person's behavior or outcomes. They might occasionally put in extra effort when necessary.",moderate / clearly present - The individual consistently demonstrates a strong commitment to their goals and shows persistent effort. They are likely to be dependable and reliable in their endeavors.,"strong / prominent - This person is highly motivated and dedicated, often going above and beyond what is expected of them. Their hard work is evident in all aspects of their life, leading to significant achievements.","very strong / dominant - The individual exhibits an almost obsessive level of dedication to their goals. They are relentless in their pursuit, sometimes at the expense of personal well-being or other commitments. This can lead to burnout if not managed properly."
F0076,Emotional-intelligence measure: Impulsiveness,behavioral,negative,Measurable trait/behavior that reflects a person's tendency to act without fully considering potential emotional consequences.,"Absent / Not present - The individual shows no signs of impulsiveness in their speech, always carefully considering the emotional impact of their words and actions.",Slight / Faint trace - The individual mentions occasional impulsive statements or actions but does not show a pattern of impulsiveness in conversation.,"Moderate / Clearly present - The individual frequently speaks about impulsive decisions, often without considering the emotional repercussions for themselves or others.",Strong / Prominent - The individual consistently describes impulsive behaviors and their immediate emotional impacts on them and those around them.,"Very strong / Dominant - The individual's speech is dominated by discussions of highly impulsive actions, with little consideration for the emotional outcomes or consequences."
F0077,Dishonesty,behavioral,negative,"Measurable trait/behavior indicating a tendency towards dishonesty in conversation, observable through patterns of deception and untruthfulness.",A slight trace of dishonesty is present. The individual occasionally tells small fibs or avoids direct answers to questions.,"Moderate presence of dishonesty. The person frequently uses euphemisms, evasions, and partial truths in conversations.","Strong presence of dishonesty. The individual often engages in outright lies, misrepresents facts, and hides significant information from others.",Very strong presence of dishonesty. Dishonest behavior is pervasive and consistent across multiple interactions; the person frequently manipulates or deceives others for personal gain.,"Dominant presence of dishonesty. The individual habitually lies, cheats, and engages in deceitful practices with little to no regard for truthfulness."
F0078,Preferred epistemology,cognitive,neutral,A measurable trait/behavior that describes a person's preference for how they acquire and process knowledge.,"Concrete skepticism, questioning everything without seeking validation or consensus. Notably absent in the conversation.","Skepticism with mild curiosity, occasionally challenging established beliefs but not aggressively so. Faint trace of inquiry present.","Moderate skepticism, engaging in critical thinking and evidence-based reasoning. Moderate presence of questioning and analysis.","Strong skepticism, actively seeking alternative explanations and critically evaluating claims. Prominent display of analytical and skeptical tendencies.","Very strong skepticism, dismissive of mainstream knowledge and dogma. Dominant expression of critical thinking and disbelief in conventional wisdom."
F0079,Memory for Sounds,cognitive,neutral,"Measurable trait/behavior related to an individual's ability and capacity to remember sounds, including auditory stimuli and verbal information.",absent / not present - The individual shows no signs of being able to recall any sounds or auditory information.,slight / faint trace - The individual occasionally mentions hearing sounds but cannot consistently recall specific details or sequences of sounds.,"moderate / clearly present - The individual often recalls specific sounds and can provide detailed accounts of what they heard, even in noisy environments.","strong / prominent - The individual frequently remembers complex auditory information with great clarity, including distinguishing between similar sounds or recognizing familiar voices.","very strong / dominant - The individual has an exceptional ability to remember and recall a wide range of sounds, often recalling them in vivid detail even after significant time has passed."
F0080,Sportsmanship rating,behavioral,positive,The degree to which a person demonstrates fair play and respect for opponents in sports-related interactions.,"A complete lack of consideration for others, often leading to aggressive or unfair behavior during sports activities.","Slight disregard for rules and fairness, occasionally showing rudeness towards teammates or opponents.","Moderate adherence to fair play principles, generally avoiding direct conflicts but may engage in subtle undermining tactics.","Strong commitment to fair play, consistently upholding sportsmanship values even when it is difficult or unpopular.","Very strong commitment to fair play, actively promoting and enforcing fair play norms within the context of sports activities."
F0081,Immaturity,behavioral,negative,Measurable trait/behavior indicating a tendency towards immature actions and thought patterns observed in conversation.,absent / not present - The individual shows no signs of immaturity. Their responses are mature and well-thought-out.,"slight / faint trace - The individual occasionally displays immature behaviors or thoughts, but these do not significantly impact the conversation.","moderate / clearly present - The individual frequently exhibits immature actions or thought patterns, which can disrupt the flow of the conversation and show a lack of self-control or responsibility.","strong / prominent - The individual's immaturity is consistently evident in their responses. They may make impulsive decisions, have difficulty following through on commitments, and struggle with maintaining control over their emotions and actions.","very strong / dominant - Immature behaviors are overwhelming and pervasive. The individual often acts impulsively, lacks self-control, and has significant trouble managing their emotions and responsibilities, leading to frequent conflicts or setbacks in the conversation."
F0082,Health-literacy level,cognitive,positive,"The measurable trait/behavior that reflects an individual's understanding and application of health-related knowledge, skills, and attitudes in a conversation.",Health-literacy level is absent or not present. The person does not demonstrate any awareness or use of basic health information.,The person shows slight traces of understanding but lacks depth. They may mention general health topics without specific knowledge.,"Moderate presence, with the individual showing some ability to discuss health-related issues and provide relevant information based on their limited knowledge.","Strong presence, where the conversation reveals a significant level of understanding about various health topics. The person can explain concepts clearly and provides accurate information.","Very strong presence, indicating an advanced level of health literacy. The individual demonstrates comprehensive knowledge across multiple health domains and can provide nuanced explanations and advice."
F0083,Estimating Calculations,cognitive,neutral,The ability and tendency to perform mental calculations and estimations during a conversation.,Concrete numbers are never mentioned or considered in the conversation. The speaker avoids any discussion related to estimation or calculation.,"Slight mention of numbers is made, but they are not central to the conversation. The speaker occasionally references a rough estimate without much detail.","Moderate presence of numerical information. The speaker frequently makes estimations and uses approximate figures in their speech, though these are generally within a reasonable margin of error.","Strong emphasis on precise calculations. The conversation often revolves around detailed numerical data and exact figures, with the speaker showing confidence in their accuracy.",Very strong focus on estimation without precision. The speaker frequently makes broad estimates that are not necessarily accurate but are used to guide discussion or decision-making.
F0084,Depression: Feelings of sadness and hopelessness,emotion,negative,"Measurable trait/behavior observed in how a person speaks, reflecting feelings of sadness and hopelessness associated with depression.",Absent / not present - The individual does not express feelings of sadness or hopelessness. Their speech is generally positive and optimistic.,"Slight / faint trace - The individual occasionally expresses sadness or hopelessness in a very mild way, such as mentioning they feel 'a little down' or expressing mild disappointment.","Moderate / clearly present - The individual mentions feeling sad or hopeless on occasion, but it is not frequent. Their speech may include mild expressions of these emotions.","Strong / prominent - The individual occasionally expresses feelings of sadness and hopelessness, sometimes describing their emotional state in a somewhat melancholic tone.","Very strong / dominant - The individual frequently expresses deep-seated sadness and hopelessness, often using pessimistic language and negative self-talk. They may describe their mood as 'hopeless' or 'depressed.'"
F0085,Synthesis of information,cognitive,positive,The measurable trait/behavior that assesses how effectively a person integrates and synthesizes diverse pieces of information during conversation.,"absent / not present, the speaker does not attempt to connect different ideas or perspectives in their responses.","slight / faint trace, the speaker mentions a few connections but they are minimal and do not significantly impact the conversation flow.","moderate / clearly present, the speaker makes several relevant connections between information provided by others, showing an effort to integrate different pieces of data into coherent narratives or arguments.","strong / prominent, the speaker consistently and effectively synthesizes multiple sources of information, creating a cohesive narrative that enhances understanding for all participants.","very strong / dominant, the speaker not only integrates but also critically evaluates different pieces of information, leading to innovative insights or solutions that significantly advance the conversation's direction."
F0086,Leadership Potential,behavioral,positive,A measurable trait/behavior that reflects an individual's potential for effective leadership in various contexts.,"absent / not present (Individual shows no signs of having a leadership potential, lacks any inclination towards leading others).",slight / faint trace (Individual occasionally displays leadership tendencies but is inconsistent and often self-sacrificing in these instances).,"moderate / clearly present (Individual consistently shows leadership qualities such as assertiveness, decision-making skills, and a willingness to take charge in group settings).","strong / prominent (Individual frequently demonstrates strong leadership potential by taking initiative, inspiring others, and effectively guiding teams towards goals).","very strong / dominant (Individual consistently exhibits exceptional leadership qualities such as visionary thinking, strategic planning, and the ability to inspire and motivate large groups with ease)."
F0087,Ethical standards,behavioral,positive,Measurable trait/behavior observed in how a person speaks about ethical principles and moral obligations in conversation.,"A very strong / dominant score indicates adherence to high ethical standards, which is generally adaptive and desirable.","A strong / prominent score suggests occasional adherence to ethical standards, which can be seen as somewhat adaptive but not necessarily ideal.","A moderate / clearly present score shows some awareness of ethical considerations, without consistent adherence, which may indicate a need for improvement in ethical behavior.","A strong / prominent score indicates frequent and clear expression of ethical standards, reflecting a positive and adaptive trait.","A very strong / dominant score reflects an overwhelming emphasis on ethical standards, potentially at the expense of other important aspects of communication or personal development."
F0088,High-spiritedness,emotion,positive,"Measurable trait/behavior reflecting a positive and energetic disposition characterized by enthusiasm, optimism, and joy in conversation.",The speaker shows no signs of high-spiritedness; their tone is neutral or even slightly somber.,The speaker occasionally expresses mild excitement but quickly returns to a more subdued state.,"High-spiritedness begins to manifest, with the speaker frequently showing enthusiasm and optimism in conversation.","The speaker consistently exhibits high levels of high-spiritedness, often using exuberant language and gestures.","The speaker is overwhelmingly high-spired, their conversations brimming with joy, energy, and infectious enthusiasm."
F0089,Critical reasoning,cognitive,positive,"Critical reasoning is the ability to analyze and evaluate arguments, evidence, and information critically in a conversation.","The speaker shows no inclination towards analyzing or evaluating arguments, appearing dismissive of critical thinking.",The speaker occasionally mentions logical fallacies but does not actively engage with them during the conversation.,The speaker frequently points out logical inconsistencies and encourages others to do so as well.,"The speaker consistently challenges assumptions and seeks multiple perspectives, often leading discussions towards more nuanced conclusions.","The speaker dominates conversations with relentless critical analysis, dismissing opposing viewpoints without consideration."
F0090,Sleep-disorder diagnosis,safety,negative,"Measurable trait/behavior related to how a person speaks about their sleep disorders, including symptoms, treatments, and coping mechanisms.",Absent: The individual does not mention any sleep-related issues or concerns in the conversation.,"Slight: There is a very faint trace of mentioning sleep issues, but they are not central to the conversation.","Moderate: Sleep-disorder related topics are clearly present and form a significant part of the conversation, though not overly emphasized.","Strong: The individual speaks extensively about their sleep disorders, including symptoms, treatments, and coping mechanisms, with strong emphasis on these issues.","Very Strong: Sleep-disorder related topics dominate the conversation, with detailed discussions of symptoms, treatments, and personal experiences."
F0091,Listening Skills Subcomponents,cognitive,neutral,"The Listening Skills Subcomponents facet refers to an individual's ability and tendency to attentively listen, comprehend, and respond appropriately during conversations.",The person shows no signs of actively listening or engaging in the conversation. They appear distracted or disinterested.,The person occasionally listens but does not fully engage or demonstrate understanding. Their responses are brief and lack depth.,"The person listens attentively, demonstrates basic comprehension, and provides appropriate feedback when necessary. However, their engagement is somewhat superficial.","The person actively listens with full attention, shows deep understanding, and offers insightful responses that contribute meaningfully to the conversation.","The person listens with unwavering focus, demonstrates profound comprehension, and provides highly insightful and relevant responses. Their engagement is deeply engaging for all parties involved."
F0092,Collaboration,behavioral,positive,A measurable trait/behavior observed in how a person speaks in a conversation regarding their tendency to engage and cooperate with others.,absent / not present - The individual shows no inclination towards collaboration. They do not seek out or participate in cooperative activities or discussions.,"slight / faint trace - The individual occasionally offers help when asked, but does so with a sense of obligation rather than genuine cooperation. They may engage in collaborative tasks only if it benefits them personally.",moderate / clearly present - The individual actively seeks out opportunities for collaboration and is willing to compromise their own goals for the benefit of others. They often initiate joint projects or discussions with a positive attitude.,"strong / prominent - The individual consistently demonstrates collaborative behavior, showing empathy towards others' needs and interests. They are proactive in finding ways to work together and often seek out diverse perspectives to enhance their own understanding.","very strong / dominant - The individual is highly collaborative, prioritizing teamwork over personal achievements. They actively promote a culture of collaboration within their social circles or professional environments, encouraging others to engage in cooperative activities without hesitation."
F0093,Precision of Movements,cognitive,positive,The ability to execute movements accurately and with fine control.,"absent / not present - The individual shows no signs of precision in their movements, such as clumsy or uncoordinated actions.","slight / faint trace - There are very minor indications of movement precision, but they are barely noticeable and do not significantly impact the individual's performance or coordination.","moderate / clearly present - The individual demonstrates a consistent level of precision in their movements, which is evident in their ability to perform tasks with minimal errors and maintain control over fine motor skills.","strong / prominent - The individual consistently exhibits high levels of movement precision, often outperforming others in tasks that require meticulous control and accuracy. Their actions are smooth and precise without any noticeable mistakes.","very strong / dominant - The individual's movements are exceptionally precise and controlled, almost to the point where they can be considered flawless. They excel in activities that demand exceptional precision, such as surgical procedures or complex dance routines."
F0094,Social Boldness,behavioral,positive,"Social Boldness refers to a person's tendency to assert themselves, take initiative in social interactions, and engage with others in a confident manner.",absent / not present - The individual shows no signs of asserting themselves or taking initiative in social interactions. They are hesitant and avoid confrontation.,"slight / faint trace - The individual occasionally asserts themselves, but it is minimal and often results in discomfort or conflict. They hesitate before speaking up.","moderate / clearly present - The individual consistently takes initiative in social interactions, speaks up confidently, and seeks out new opportunities for engagement. They are comfortable with assertiveness.",strong / prominent - The individual is highly assertive and proactive in social settings. They often take the lead in conversations and make bold statements or decisions without hesitation.,"very strong / dominant - The individual is extremely assertive, dominating social interactions with their confidence and assertiveness. They rarely listen to others' perspectives and frequently push their own agenda."
F0095,Auditory memory,cognitive,neutral,A measurable trait/behavior that involves an individual's ability to store and retrieve auditory information.,absent / not present - The individual shows no signs of being able to recall or process auditory information in a meaningful way.,"slight / faint trace - The individual occasionally struggles with recalling specific sounds or noises, but it does not significantly impact their daily functioning.","moderate / clearly present - The individual often experiences difficulties in remembering specific sounds or auditory details, which can affect their ability to follow instructions or engage in conversations that require attention to sound cues.","strong / prominent - The individual frequently encounters significant challenges in recalling and processing auditory information, leading to misunderstandings in social interactions and learning situations.","very strong / dominant - The individual has severe difficulties with auditory memory that significantly impairs their ability to function in daily life, affecting communication, education, and social activities."
F0096,Psychomotor Ability Subcomponents,cognitive,positive,Measurable trait/behavior that assesses a person's ability to execute motor skills and physical actions efficiently and effectively.,absent / not present - The individual shows no signs of executing any motor skills or physical actions.,"slight / faint trace - The individual occasionally attempts to execute simple motor tasks, but they are often clumsy and inefficient.","moderate / clearly present - The individual consistently executes a variety of motor tasks with reasonable efficiency and accuracy, though there may be occasional errors or inefficiencies.","strong / prominent - The individual performs complex motor tasks with high proficiency and speed, making minimal mistakes and demonstrating excellent coordination.","very strong / dominant - The individual excels in executing a wide range of physical actions with exceptional skill and speed, often setting records or breaking barriers in their domain."
F0097,Organized lifestyle,behavioral,positive,"A measurable trait/behavior observed in how a person speaks about their organized routines, schedules, and structured activities.",absent / not present - The individual does not mention any organized lifestyle aspects.,slight / faint trace - The individual mentions occasional routines or plans but they are not detailed or consistent.,"moderate / clearly present - The individual describes a structured daily routine, including specific times for work, exercise, and leisure activities.","strong / prominent - The individual speaks extensively about their organized lifestyle, detailing weekly schedules, appointments, and planned events.","very strong / dominant - The individual's entire conversation revolves around their meticulously organized lifestyle, including daily routines, future plans, and how they manage time effectively."
F0098,Skill-endorsements count,linguistic,positive,"The frequency and intensity of a speaker's endorsement or validation of others' skills, knowledge, or abilities in conversation.",Absent: The speaker does not acknowledge or validate the skill endorsements of others. They may dismiss or ignore such claims.,"Slight: There is a very faint acknowledgment of skill endorsements from others, but it is brief and unemotional.","Moderate: Skill endorsements are acknowledged with some enthusiasm and positive language, but the speaker does not go out of their way to validate them.","Strong: The speaker frequently and enthusiastically endorses skill endorsements from others, often using encouraging or validating language.","Very Strong: The speaker is overly enthusiastic in endorsing skill endorsements, sometimes bordering on excessive praise that may come across as insincere or manipulative."
F0099,Mysteriousness,spiritual,neutral,"Mysteriousness refers to the tendency of an individual to express ideas, beliefs, or experiences that are ambiguous, enigmatic, or difficult to understand.",The speaker avoids expressing any ambiguous or unclear thoughts or feelings.,The speaker occasionally expresses vague or cryptic statements without clear meaning.,"The speaker frequently uses metaphors, allegories, and indirect language to convey ideas.",The speaker often presents concepts in a way that requires interpretation or speculation from the listener.,The speaker deliberately employs obscurity and ambiguity to create intrigue and stimulate deeper thought.
F0100,Cultural Identity,cognitive,neutral,"A measurable trait/behavior that reflects an individual's understanding, expression, and maintenance of their cultural identity in a conversation.",Concrete expressions of cultural identity are absent or not present. The speaker does not reference any specific cultural aspects or identities.,"Slight traces of cultural identity can be observed, but they are faint and do not significantly impact the conversation. The speaker mentions a single cultural detail without much depth or context.","Moderate presence of cultural identity is evident, with the speaker referencing multiple aspects of their culture in a somewhat superficial manner. They may use stereotypes or clichés about their culture.","Strong presence of cultural identity is clear and prominent. The speaker engages deeply with their cultural background, uses specific examples, and incorporates cultural nuances into their speech.","Very strong presence of cultural identity is dominant. The conversation revolves around the speaker's cultural experiences, values, and beliefs, often leading to insightful discussions about their culture."
F0101,Intrinsic Motivation,behavioral,positive,Measurable trait/behavior that reflects an individual's internal drive and enthusiasm for engaging in activities.,"A slight inclination towards intrinsic motivation, barely noticeable. The person shows a very mild interest or enjoyment in some tasks without external rewards.","Moderate intrinsic motivation is clearly present but not dominant. The individual engages with activities out of personal interest rather than for external reasons, showing enthusiasm and engagement.","Strong intrinsic motivation is prominent. The person consistently finds joy and satisfaction in their tasks, often leading to high productivity and enjoyment.","Very strong intrinsic motivation dominates the individual's behavior. They are highly engaged with activities they find personally meaningful, showing a deep commitment and enthusiasm.","Intrinsic motivation is dominant and pervasive. The person finds joy in almost all aspects of their life, leading to high levels of engagement and satisfaction regardless of external factors."
F0102,Impartial-mindedness,cognitive,positive,"Impartial-mindedness is a cognitive trait characterized by an individual's ability to maintain objectivity and fairness in evaluating situations, regardless of personal biases or emotions.",Impartial-mindedness is not present; the person shows clear bias or partiality in their evaluations.,"The person occasionally displays impartial-mindedness, but it is inconsistent and often overridden by personal biases.","Impartial-mindedness is moderately present; the person generally evaluates situations fairly, though minor personal biases may still influence their judgments.",Impartial-mindedness is strongly present; the person consistently and prominently evaluates situations with minimal bias or emotionality.,"Impartial-mindedness is very strong and dominant; the person's evaluations are almost entirely free of personal biases, demonstrating a high level of objectivity."
F0103,Burnout Symptoms,safety,negative,"A measurable trait/behavior observed in how a person speaks in a conversation, indicative of symptoms associated with burnout.","(absent / not present): The individual does not mention any feelings of burnout, stress, or exhaustion in their conversation. They maintain a positive and engaged tone throughout the interaction.",(slight / faint trace): The individual mentions feeling a bit overwhelmed at times but does not use strong language or express significant concern. Their comments are brief and do not indicate ongoing issues.,"(moderate / clearly present): The individual acknowledges occasional feelings of stress and burnout, using language that indicates they have experienced these emotions in the past. They may express mild concerns about their work-life balance.","(strong / prominent): The individual occasionally mentions feeling overworked and stressed, with some expressions of frustration towards colleagues or superiors. Their tone suggests they are on edge but not yet reaching a breaking point.","(very strong / dominant): The individual frequently expresses feelings of exhaustion and cynicism, often using language that indicates they are overwhelmed by their workload or responsibilities. They may complain about the lack of recognition for their efforts and express a sense of being undervalued."
F0104,Holiness,spiritual,positive,"A measurable trait/behavior that reflects a person's perceived level of sanctity, purity, or divine connection in their speech and communication.",Absent: The individual does not express any sense of holiness or divine connection in their speech. They do not mention religious topics or concepts.,"Slight: There is a very faint trace of the individual expressing ideas related to sanctity, purity, or divine connection. These expressions are brief and may be ambiguous.",Moderate: The individual consistently expresses moderate levels of holiness in their speech. They often mention religious topics and concepts with some depth but not overwhelming intensity.,"Strong: The individual frequently and prominently discusses ideas related to holiness, purity, or divine connection. Their language is rich with religious themes and they may invoke deities or spiritual practices.","Very Strong: The individual's speech is dominated by discussions of holiness, purity, and divine connection. They often use metaphysical language and frequently reference religious texts or figures."
F0105,Selfcontrol,behavioral,positive,"Selfcontrol refers to a person's ability and tendency to regulate their impulses, resist distractions, delay gratification, and maintain focus on long-term goals.","absent / not present: The individual shows no signs of selfcontrol. They frequently give in to impulses, easily distracted by short-term pleasures, and struggle to maintain consistent effort towards their objectives.",slight / faint trace: The individual exhibits a minimal level of selfcontrol. They sometimes struggle to resist immediate gratification and have difficulty maintaining focus on goals for extended periods.,"moderate / clearly present: The individual shows some level of selfcontrol. They can manage their impulses and focus on tasks over the long term, though they may occasionally struggle with distractions or impulsive decisions.","strong / prominent: The individual demonstrates a significant degree of selfcontrol. They are able to resist short-term temptations in favor of achieving their goals, even when faced with challenges.",very strong / dominant: The individual shows an exceptionally high level of self-control. They effortlessly manage their impulses and consistently prioritize long-term objectives over immediate pleasures or distractions.
F0106,SelfDirectedness,behavioral,positive,"Measurable trait/behavior indicating a person's tendency to take initiative, set goals, and pursue self-improvement in their daily life.",Self-directedness is absent. The individual shows no signs of taking initiative or setting personal goals.,"Slight self-directedness is present. There are very minor indications of the person trying to set small, vague goals and making minimal efforts towards them.","Moderate self-directedness is clearly evident. The individual shows a consistent pattern of setting specific, achievable personal goals and taking steps to achieve them.","Strong self-directedness is prominent. The person consistently sets clear, challenging goals for themselves and actively works towards achieving these goals with dedication and persistence.","Very strong self-directedness dominates their behavior. The individual frequently sets ambitious, long-term goals and demonstrates exceptional commitment to their personal development and achievement of those goals."
F0107,Encouraging participation,linguistic,positive,The measurable trait/behavior observed in how a person speaks in a conversation that encourages others to participate and engage.,"A very strong / dominant level: The speaker frequently uses encouraging language, such as 'I think you have something important to say,' or 'Your perspective is valuable.' They often invite others to share their thoughts with phrases like 'What do you think?' or 'Can you elaborate on that?'.","A strong / prominent level: The speaker occasionally uses encouraging language, such as 'I'm curious about your opinion' or 'Please feel free to contribute.' They might ask questions in a way that suggests they are open to hearing different viewpoints.",A moderate / clearly present level: The speaker sometimes encourages participation by asking for input with phrases like 'What do you think?' and acknowledging others' contributions with brief affirmations such as 'That's an interesting point.',"A slight / faint trace level: The speaker occasionally acknowledges others' contributions but does not use explicit encouragement. They might say something like, 'I see,' or 'Interesting perspective,' without explicitly inviting further input.","Absent / not present level: The speaker rarely encourages participation. They may only acknowledge others' contributions with brief responses such as 'Okay,' or 'Mmm-hmm,' and do not invite further discussion or input."
F0108,Impracticalness,behavioral,negative,Measurable trait/behavior indicating a tendency towards impractical or unconventional actions and decisions in conversation.,A person with a score of 1 on Impracticalness is not present. They do not exhibit any signs of impractical behavior.,A person with a score of 2 on Impracticalness has slight or faint traces of impracticality. Their conversations may occasionally veer into unconventional topics without clear purpose.,"A person with a score of 3 on Impracticalness clearly demonstrates impractical behavior. Conversations often include tangential and unrelated topics, leading to disorientation or confusion.",A person with a score of 4 on Impracticalness shows strong signs of impracticality. Their conversations frequently involve highly unconventional ideas or actions that are not aligned with practical considerations.,"A person with a score of 5 on Impracticalness exhibits very strong and dominant impractical behavior. Conversations are dominated by impractical topics, leading to significant disruption in the conversation flow."
F0109,Meeting Deadlines,behavioral,positive,A measurable trait/behavior observed in how a person speaks about their ability to meet deadlines and manage time effectively.,"Absent / Not Present: The individual rarely mentions meeting deadlines or managing time, showing no concern for punctuality or planning.",Slight / Faint Trace: The individual occasionally mentions meeting deadlines but does not prioritize it. They may mention it in passing when discussing work responsibilities.,"Moderate / Clearly Present: The individual often discusses their ability to meet deadlines, showing a moderate level of concern and planning for future tasks.",Strong / Prominent: The individual frequently emphasizes their skill in meeting deadlines. They may discuss specific strategies or achievements related to time management.,Very Strong / Dominant: The individual consistently highlights their ability to meet deadlines as a key aspect of their professional life. They often share examples and techniques for effective time management.
F0110,Data Analysis,cognitive,positive,"A measurable trait/behavior observed in how a person speaks about data analysis, including their understanding, skills, and approach to handling data.",Data Analysis is not mentioned or discussed at all. The speaker shows no interest or knowledge of data analysis concepts.,The speaker mentions basic data analysis terms but does so in a vague manner without showing deep understanding or application.,"The speaker demonstrates moderate understanding and use of data analysis techniques, terminology, and methods in their conversation. They can explain simple concepts clearly.","The speaker shows strong proficiency in data analysis. They frequently reference advanced concepts, tools, and methodologies. Their explanations are clear and detailed.",The speaker exhibits very strong expertise in data analysis. They use complex theories and techniques fluently and can provide insightful critiques of others' work on the topic.
F0111,Social Interaction Skills,behavioral,positive,"Measurable trait/behavior observed in how a person speaks during social interactions, indicating their ability to engage effectively and harmoniously with others.",Social Interaction Skills are not present. The individual shows no signs of effective social engagement or interaction skills.,There is a slight trace of social interaction skills. The individual occasionally engages in basic forms of communication and acknowledgment during interactions.,"Moderate presence of social interaction skills. The individual demonstrates some ability to engage with others, showing awareness of social cues and responding appropriately in most situations.","Strong presence of social interaction skills. The individual is highly skilled at engaging with others, exhibiting a strong capacity for empathy, active listening, and effective communication.","Very strong presence of social interaction skills. The individual excels in social interactions, showing exceptional adaptability, emotional intelligence, and the ability to build deep, meaningful connections with others."
